sid_unique_ID,domain,company,address,city,state,address,country,phone,sid_name,annual_sales
19324637,,21st Century Coop,130 Main St,Cumberland,IA,130 Main St,United States,712-243-2465,PETROLEUM & PETROLEUM PRODUCTS,"300,000,000"
336067,,22 Acquisition,2220 San Jacinto Blvd,Denton,TX,2220 San Jacinto Blvd,United States,940-566-3982,"NURSING CARE FACILITIES, SKILLED","108,160,000"
2017784,,2328 On Twelfth,2328 12th Ave,New York,NY,2328 12th Ave,United States,212-234-3883,GROCERY STORES,"208,000,000"
19600198,,24 Hour Oil Delivery,PO Box 199,Bronx,NY,PO Box 199,United States,718-401-2500,PETROLEUM & PETROLEUM PRODUCTS,"300,000,000"
20457827,,34-02 Queens Boulevard Associates,3402 Queens Blvd,Long Island City,NY,3402 Queens Blvd,United States,718-937-1539,"TRANSPORTATION SERVICES, NEC","104,000,000"
27936925,,3PAR,4209 Technology Drive,Fremont,CA,4209 Technology Drive,United States,510-413-5999,COMPUTER STORAGE DEVICES,"194,284,000"
1940708,,4 M Operating,1045 S River Industrial B,Atlanta,GA,1045 S River Industrial B,United States,404-627-7747,"TRUCKING, EXC LOCAL","112,320,000"
22689923,,40 HRS,1669 Flanigan Dr,San Jose,CA,1669 Flanigan Dr,United States,408-414-0158,EMPLOYMENT AGENCIES,"208,000,000"
27228115,,4G Wireless,8871 Research Dr,Irvine,CA,8871 Research Dr,United States,949-748-6100,RADIOTELEPHONE COMMUNICATIONS,"114,400,000"
1766936,,51st Street and 8th Avenue,4000 Coronado Bay Rd,Coronado,CA,4000 Coronado Bay Rd,United States,619-424-4000,HOTELS & MOTELS,"114,400,000"
1828061,,618 Main Clothing,30 Seaview Dr Ste 1,Secaucus,NJ,30 Seaview Dr Ste 1,United States,201-319-1400,"CLOTHING STORES, WOMEN'S","187,200,000"
18570899,,66 Claims Trust,700 Plaza Office Bldg,Bartlesville,OK,700 Plaza Office Bldg,United States,918-661-7460,"INSURANCE AGENTS, BROKERS & SERVICES","234,244,379"
18621237,,7 UP Bottling,12201 Beech Daly Rd,Redford,MI,12201 Beech Daly Rd,United States,313-937-3500,"GROCERIES & RELATED PRODUCTS, NEC","300,000,000"
18601725,,7 UP RC Bottling,6207 Strawberry Ln,Louisville,KY,6207 Strawberry Ln,United States,502-367-0121,"SOFT DRINKS & CARBONATED WATER, BOTTLED","300,000,000"
22433416,,7 UP Snapple,5430 W 81st St,Indianapolis,IN,5430 W 81st St,United States,317-875-4900,"GROCERIES & RELATED PRODUCTS, NEC","300,000,000"
19678763,,96 Medical,307 Boatner Rd Ste 114,Eglin Afb,FL,307 Boatner Rd Ste 114,United States,850-883-8221,OFFICES & CLINICS OF MEDICAL DOCTORS,"300,000,000"
13447301,,99 Cent Supercenter,,Miami,FL,,United States,305-690-9399,GROCERY STORES,"208,000,000"
13431978,,A&A Manufacturing,1675 Sampson Ave,Corona,CA,1675 Sampson Ave,United States,951-371-8090,"HOLDING COMPANIES, NEC","150,000,000"
23938054,,A&G Quality Builders,1413 Powhatan St,Alexandria,VA,1413 Powhatan St,United States,703-549-8682,"RESIDENTIAL CONSTRUCTION, NEC","150,000,000"
21970773,,A&L Industrial CONSTRUCTION&MAINTENANCE,1440 Shipley Ferry Rd E,Kingsport,TN,1440 Shipley Ferry Rd E,United States,423-239-3826,"CONTRACTORS, INDUSTRIAL BUILDING, WRHSE","208,000,000"
23984705,,A&M Business Properties,500 S Florida Ave Ste 700,Lakeland,FL,500 S Florida Ave Ste 700,United States,863-647-1581,REAL ESTATE AGENTS & MANAGERS,"124,800,000"
23225657,,A&R Janitorial Service,5234 W 25th St,Cicero,IL,5234 W 25th St,United States,708-656-8300,"BUILDING CLEANING & MAINTNCE SVCS, NEC","228,800,000"
18582254,,A&W Oil,625 5th St,Augusta,GA,625 5th St,United States,706-722-5321,PETROLEUM & PETROLEUM PRODUCTS,"300,000,000"
20455732,,A-1 Fuel Oil,8783 Hansen Rd,Minocqua,WI,8783 Hansen Rd,United States,715-356-3245,PETROLEUM & PETROLEUM PRODUCTS,"300,000,000"
18939553,,A-North Las Vegas Cab,5110 S Valley View Blvd,Las Vegas,NV,5110 S Valley View Blvd,United States,702-643-1041,TAXICABS,"499,200,000"
22762540,,A-R HHC Orlando Convention Hotel,6001 Destination Pkwy,Orlando,FL,6001 Destination Pkwy,United States,407-313-4300,HOTELS & MOTELS,"145,600,000"
18554076,,A.C.A Sparrow Corporation Lab & Divisions,2937 N Kenwood Ave Apt B,Indianapolis,IN,2937 N Kenwood Ave Apt B,United States,317-920-1374,"BUSINESS SERVICES, NEC","208,000,000"
227955,,A1A Clipper,1140 Seabreeze Blvd,Fort Lauderdale,FL,1140 Seabreeze Blvd,United States,954-524-5551,HOTELS & MOTELS,"104,000,000"
20303666,,AAA Car Buyers,11795 Applewhite Rd,San Antonio,TX,11795 Applewhite Rd,United States,210-298-5451,AUTOMOBILES & OTHER MOTOR VEHICLES,"300,000,000"
27935780,,AAC Group Holding,C/o American Achievement Corporation 7211 Circle S Road,Austin,TX,C/o American Achievement Corporation 7211 Circle S Road,United States,512-444-0571,"JEWELRY, PRECIOUS METAL","313,456,000"
22167933,,Aafes Group Health Voluntary Emplys Beneficiary Association Trust,3911 S Walton Walker Blvd,Dallas,TX,3911 S Walton Walker Blvd,United States,214-312-2551,"HEALTH & ALLIED SERVICES, NEC","104,310,118"
27933040,,Aaipharma,2320 Scientific Park Drive,Wilmington,NC,2320 Scientific Park Drive,United States,910-254-7000,TESTING LABORATORIES,"215,330,000"
19321964,,Aareal Financial Service,250 Park Ave Ste 820,New York,NY,250 Park Ave Ste 820,United States,212-508-4080,INVESTMENT ADVICE,"312,000,000"
4358978,,Aata International,2240 Blake St Ste 210,Denver,CO,2240 Blake St Ste 210,United States,720-974-2550,"PHYSICAL & BIOLOGICAL RESEARCH, COMMRCL","130,000,000"
7677435,,Aauto Insurance Replacement,2929 Pico Blvd,Santa Monica,CA,2929 Pico Blvd,United States,310-828-3014,PASSENGER CAR RENTAL,"300,000,000"
27869274,,Abbott,901 Sawyer Rd,Marietta,GA,901 Sawyer Rd,United States,770-578-9000,SURGICAL & MEDICAL INSTRUMENTS,"300,000,000"
13322954,,Abbott Patient Assistance FDN,200 Abbott Park Rd,Abbott Park,IL,200 Abbott Park Rd,United States,847-937-8177,"MEMBERSHIP ORGANIZATIONS, NEC","492,857,634"
18939528,,ABC Union Cab,5010 S Valley View Blvd,Las Vegas,NV,5010 S Valley View Blvd,United States,702-736-8444,TAXICABS,"300,000,000"
27936915,,Abraxis Bioscience,11755 Wilshire Blvd. 20th Floor,Los Angeles,CA,11755 Wilshire Blvd. 20th Floor,United States,310-883-1300,PHARMACEUTICAL PREPARATIONS,"359,050,000"
27784151,,Acadia Healthcare,830 Crescent Centre Dr Ste 610,Franklin,TN,830 Crescent Centre Dr Ste 610,United States,615-861-6000,PROFESSIONAL MEMBERSHIP ORGANIZATIONS,"149,968,000"
19050541,,Acambis,38 Sidney St Ste 400,Cambridge,MA,38 Sidney St Ste 400,United States,617-761-4200,"DRUGS, PROPRIETARIES, DRUGGIST SUNDRIES","300,000,000"
2178956,,Accelerated Health Systems,205 W Wacker Dr Ste 1020,Chicago,IL,205 W Wacker Dr Ste 1020,United States,773-354-8147,"OFFICES/CLINICS: HEALTH PRACTITNRS, NEC","104,000,000"
27106038,,Accessible Healthcare Solutions,10800 Alpharetta Hwy,Roswell,GA,10800 Alpharetta Hwy,United States,318-445-2286,HOME HEALTH CARE SERVICES,"104,000,000"
27932493,,Acclaim Entertainment,One Acclaim Plaza,Glen Cove,NY,One Acclaim Plaza,United States,516-656-5000,"COMPUTER SOFTWARE, PREPACKAGED","142,679,000"
27935795,,Accoona,101 Hudson Street,Jersey City,NJ,101 Hudson Street,United States,201-557-9399,"RETAIL STORES, MISC, NEC","149,212,389"
22917412,,Accredited Business Consolidators,196 W Ashland St,Doylestown,PA,196 W Ashland St,United States,267-864-7737,RESTAURANTS,"187,200,000"
755789,,Acct,1235 Westlakes Dr Ste 160,Berwyn,PA,1235 Westlakes Dr Ste 160,United States,610-695-0500,"TELEPHONE COMMCTN, EXC RADIOTELEPHONE","478,400,000"
18258652,,Acdivoca,639 Atlantic St SE,Washington,DC,639 Atlantic St SE,United States,202-563-7206,"NURSING & PERSONAL CARE FACILITIES, NEC","124,092,776"
27833635,,Ace Beverage,401 S Anderson St,Los Angeles,CA,401 S Anderson St,United States,323-264-6001,BEER & ALE,"300,000,000"
27933521,,ACG,225 High Ridge Rd,Stamford,CT,225 High Ridge Rd,United States,615-377-0377,"COMMERCIAL PRINTING, LITHOGRAPHIC","445,026,000"
27857441,,ACK Controls,2600 Happy Valley Rd,Glasgow,KY,2600 Happy Valley Rd,United States,270-678-6200,MOTOR VEHICLE PARTS & ACCESSORIES,"300,000,000"
22445540,,Acmc Physician Referral,2420 Lake Ave,Ashtabula,OH,2420 Lake Ave,United States,440-997-6640,"HEALTH & ALLIED SERVICES, NEC","300,000,000"
19606962,,Acme Business,3355 Veterans Memorial Hwy Ste C,Ronkonkoma,NY,3355 Veterans Memorial Hwy Ste C,United States,631-585-6565,INTERCITY & RURAL BUS TRANSPORTATION,"156,000,000"
2260868,,Acme Manufacturing,7500 State Rd,Philadelphia,PA,7500 State Rd,United States,215-338-2850,SHEET METALWORK,"145,600,000"
19369316,,Acme Wholesale,6970 Jonesboro Rd,Morrow,GA,6970 Jonesboro Rd,United States,770-968-9222,TOYS & HOBBY GOODS & SUPPLIES,"300,000,000"
22430344,,Acordis Cellulosic Fibers,Hwy 43 N,Saraland,AL,Hwy 43 N,United States,251-679-2200,FIBER CANS/TUBES/DRUM/SIMILAR PRODUCTS,"300,000,000"
27877752,,Actavis,1877 Kawai Rd,Lincolnton,NC,1877 Kawai Rd,United States,704-735-5700,PHARMACEUTICAL PREPARATIONS,"300,000,000"
14475413,,Actelion Pharmaceutical,5000 Shoreline Ct Ste 200,S San Francisco,CA,5000 Shoreline Ct Ste 200,United States,650-624-6900,"DRUGS, PROPRIETARIES, DRUGGIST SUNDRIES","300,000,000"
25049242,,Action Logistics,215 Billings St Ste 400,Arlington,TX,215 Billings St Ste 400,United States,817-635-2110,"TRANSPORTATION SERVICES, NEC","127,920,000"
27933299,,Action Performance Companies,1480 South Hohokam Drive,Tempe,AZ,1480 South Hohokam Drive,United States,602-337-3700,"SPORTING & RECREATIONAL GOODS, SUPPLIES","344,330,000"
22414259,,Activant Solutions,1860 Jackson Dr,Marion,IA,1860 Jackson Dr,United States,319-447-0868,COMPUTER & SOFTWARE STORES,"370,756,000"
3463104,,Acumen Fiscal Agent,4542 E Inverness Ave Ste 210,Mesa,AZ,4542 E Inverness Ave Ste 210,United States,480-497-1889,"ACCOUNTING, AUDITING & BOOKKEEPING SVCS","112,112,129"
23177549,,ACW,110 S Poplar St Ste 102,Wilmington,DE,110 S Poplar St Ste 102,United States,302-427-1776,RESTAURANTS,"124,800,000"
1898664,,Adams & Sullivan,1188 N Market St,Paris,TN,1188 N Market St,United States,731-642-2752,GROCERY STORES,"114,192,000"
14431992,,Adams Outdoor Advertising,500 Colonial Center Pkwy,Roswell,GA,500 Colonial Center Pkwy,United States,770-333-0399,"ADVERTISING SERVICES, OUTDOOR","102,000,000"
27116760,,Adecoagro,888 Sventh Ave 33 A Fl 28,New York,NY,888 Sventh Ave 33 A Fl 28,United States,212-262-6300,NONCLASSIFIABLE ESTABLISHMENTS,"200,000,000"
27937349,,Adelphia Recovery Trust,919 North Market Street Floor 17 PO Box 705,Wilmington,DE,919 North Market Street Floor 17 PO Box 705,United States,302-652-4100,CABLE & OTHER PAY TELEVISION SERVICES,"174,977,087"
26729644,,Adjm Restaurant Solution,C Esconal 704urb,San Juan,PR,C Esconal 704urb,United States,787-783-8658,RESTAURANTS,"145,600,000"
20319594,,Adjutant General,100 Minuteman Pkwy,Frankfort,KY,100 Minuteman Pkwy,United States,502-607-1558,NATIONAL SECURITY,"166,400,000"
14244640,,Administracion De Compensaciones Por Accidentes De Automoviles,Chardon Ave Int Arterial,San Juan,PR,Chardon Ave Int Arterial,United States,787-759-8989,"REGULATION, ADMN OF TRANSPORTATN PRGRMS","104,000,000"
19139985,,Administration Building Innova,3718 Church Rd,Mt Laurel,NJ,3718 Church Rd,United States,856-608-2900,"NONRESIDENTIAL CONSTRUCTION, NEC","300,000,000"
21486372,,Administration Department,1 Capitol Hl Ste 4,Providence,RI,1 Capitol Hl Ste 4,United States,401-222-2280,LEGISLATIVE BODIES,"145,600,000"
20301894,,Administrative Service Director,401 Broadway Blvd NE,Albuquerque,NM,401 Broadway Blvd NE,United States,505-841-9042,"GOVERNMENT OFFICES, NEC","104,000,000"
19509602,,Admiralty Beverage,6840 N Cutter Cir,Portland,OR,6840 N Cutter Cir,United States,503-240-5522,"GROCERIES & RELATED PRODUCTS, NEC","300,000,000"
14480306,,Adteractive,153 Kearny St Ste 6,San Francisco,CA,153 Kearny St Ste 6,United States,415-762-2266,"ADVERTISING SERVICES, NEC","300,000,000"
27935714,,Advanced Biohealing,36 Church Lane,Westport,CT,36 Church Lane,United States,203-682-7224,SURGICAL & MEDICAL INSTRUMENTS,"146,718,000"
19866570,,Advanced Financial Technology,3001 Technology Dr,Edmond,OK,3001 Technology Dr,United States,405-715-8200,MORTGAGE BANKERS & LOAN CORRESPONDENTS,"300,000,000"
13068182,,Advanced Heating,2736 12 3/4 Ave,Cameron,WI,2736 12 3/4 Ave,United States,715-859-6243,"PLUMBING, HEATING & A/C CONTRACTORS","176,716,498"
27933109,,Advanced Lighting Technologies,32000 Aurora Rd,Solon,OH,32000 Aurora Rd,United States,440-519-0500,"ELECTRICAL MACHINERY, EQUIP, SUPLS, NEC","163,856,000"
27931731,,Advanced Neuromodulation Systems,6901 Preston Rd.,Plano,TX,6901 Preston Rd.,United States,972-309-8000,SURGICAL & MEDICAL INSTRUMENTS,"120,743,651"
12563214,,Advanced Recycling,307 White St,Danbury,CT,307 White St,United States,203-797-0378,SCRAP & WASTE MATERIALS,"300,000,000"
19061769,,Advancillaries Avalon Distributor,1 Avalon Dr,Canal Fulton,OH,1 Avalon Dr,United States,330-854-7113,"GROCERIES & RELATED PRODUCTS, NEC","300,000,000"
19359063,,Advanstar,545 Boylston St,Boston,MA,545 Boylston St,United States,617-351-4600,"HOLDING COMPANIES, NEC","323,722,000"
27933680,,Advanstar Communications,7500 Old Oak Blvd,Cleveland,OH,7500 Old Oak Blvd,United States,440-243-8100,"BUSINESS SERVICES, NEC","323,722,000"
1600607,,Advantage Personnel Consultants,5502 Brainerd Rd,Chattanooga,TN,5502 Brainerd Rd,United States,423-499-9397,MANAGEMENT CONSULTING SERVICES,"312,000,000"
8654064,,1009833 Alberta,4215 58 Ave Se,Calgary,AB,4215 58 Ave Se,Canada,403-250-8484,"RETAIL STORES, MISC, NEC","128,960,000"
8672034,,1289151 Ontario,350 Carlingview Dr,Etobicoke,ON,350 Carlingview Dr,Canada,416-703-9559,PUBLIC RELATIONS SERVICES,"312,000,000"
8656187,,160246,1800 Boul Marie Victorin Bureau 203,Longueuil,QC,1800 Boul Marie Victorin Bureau 203,Canada,450-670-1110,"BUSINESS SERVICES, NEC","104,000,000"
8685175,,20 Vic Management,1 Queen St E Ste 300,Toronto,ON,1 Queen St E Ste 300,Canada,416-955-0595,REAL ESTATE AGENTS & MANAGERS,"156,000,000"
8648429,,3860469,10315 Ch Cote De Liesse,Dorval,QC,10315 Ch Cote De Liesse,Canada,514-636-8033,BANK HOLDING COMPANIES,"187,200,000"
8657105,,4166817,152 Rue Alston,Pointe-Claire-Dorval,QC,152 Rue Alston,Canada,514-426-0115,BANK HOLDING COMPANIES,"218,400,000"
8686493,,4542410,550 Rue Godin,Québec,QC,550 Rue Godin,Canada,418-687-5320,"CANDY, NUT & CONFECTIONERY STORES","312,000,000"
3470953,,56693 Ontario,5725 Outer Dr,Windsor,ON,5725 Outer Dr,Canada,519-737-7155,STEEL MILLS & BLAST FURNACES,"104,000,000"
8671934,,5N Plus,4385 Rue Garand,Montréal,QC,4385 Rue Garand,Canada,514-856-0644,"METAL MILLS, PRIMARY NONFERROUS","185,426,753"
8681032,,668824 Alberta,6009 1a St Sw,Calgary,AB,6009 1a St Sw,Canada,403-255-2270,"RADIO, TELEVISION & ELECTRONIC STORES","104,000,000"
8662590,,119605,3000 Boul Le Corbusier,Laval,QC,3000 Boul Le Corbusier,Canada,450-973-6090,BANK HOLDING COMPANIES,"208,000,000"
24706669,,120776,700 Rue Canadel,Louiseville,QC,700 Rue Canadel,Canada,819-228-8471,BANK HOLDING COMPANIES,"197,600,000"
24723654,,1312155 Ontario,1250 Brant St,Burlington,ON,1250 Brant St,Canada,905-335-3133,PHYSICAL FITNESS FACILITIES,"145,600,000"
3579376,,132179,11500 Boul Armand Bombardier,Montréal,QC,11500 Boul Armand Bombardier,Canada,514-648-4000,BANK HOLDING COMPANIES,"124,800,000"
24652649,,137077,203 Rochester St,Ottawa,ON,203 Rochester St,Canada,613-232-1579,EMPLOYMENT AGENCIES,"124,800,000"
14252808,,1408039 Ontario,55 Sinclair Blvd,Brantford,ON,55 Sinclair Blvd,Canada,519-752-6533,"SPECIAL DIES, TOOLS, DIE SET/JIGS/MOLDS","135,824,000"
24448042,,1434378 Ontario,12 Cushman Rd,St Catharines,ON,12 Cushman Rd,Canada,905-688-9220,"BUILDING CLEANING & MAINTNCE SVCS, NEC","104,000,000"
8657246,,156753,1400 Clyde Ave Ste 217,Ottawa,ON,1400 Clyde Ave Ste 217,Canada,613-593-8849,EMPLOYMENT AGENCIES,"145,600,000"
8639043,,1661899 Ontario,6980 Creditview Rd,Mississauga,ON,6980 Creditview Rd,Canada,905-812-7300,CEREAL BREAKFAST FOODS,"128,101,280"
8666101,,170592,11450 Ch Cote De Liesse,Pointe-Claire-Dorval,QC,11450 Ch Cote De Liesse,Canada,514-631-3341,BANK HOLDING COMPANIES,"182,000,000"
8648444,,171187,3550 1re St,Saint-Hubert,QC,3550 1re St,Canada,514-666-5814,BANK HOLDING COMPANIES,"176,800,000"
24768982,,1732187 Ontario,1905 Blackacre Dr,Oldcastle,ON,1905 Blackacre Dr,Canada,519-737-9948,"SPECIAL DIES, TOOLS, DIE SET/JIGS/MOLDS","249,600,000"
3579838,,175968,1940 55e Av,Lachine,QC,1940 55e Av,Canada,514-341-3950,BANK HOLDING COMPANIES,"104,000,000"
8649780,,2063412 Investment,302 Town Centre Blvd,Markham,ON,302 Town Centre Blvd,Canada,905-477-4006,INTERMEDIATE CARE FACILITIES,"416,000,000"
8642816,,2082732 Ontario,390 Bay St Ste 1200,Toronto,ON,390 Bay St Ste 1200,Canada,416-863-0101,"SECURITY BROKERS, DLRS & FLOTATION COS","214,630,400"
24597644,,2095527 Ontario,6700 Fallsview Blvd,Niagara Falls,ON,6700 Fallsview Blvd,Canada,905-356-3600,HOTELS & MOTELS,"166,400,000"
8654690,,2151177 Ontario,166 Norseman St,Etobicoke,ON,166 Norseman St,Canada,416-234-9211,BANK HOLDING COMPANIES,"187,200,000"
8655196,,2165-1153 Québec,6168 Rue Principale,Sainte-Croix,QC,6168 Rue Principale,Canada,418-926-3291,"WOOD HOUSEHOLD FURN, EXC UPHOLSTERED","166,400,000"
8662033,,2536-4589 Québec,4975 Rue Rideau Bureau 195,Québec,QC,4975 Rue Rideau Bureau 195,Canada,418-871-6147,RESTAURANTS,"166,400,000"
24729836,,2953-6778 Québec,549 Rue De Verrazano,Boucherville,QC,549 Rue De Verrazano,Canada,450-449-1516,"PLUMBING, HEATING & A/C CONTRACTORS","109,200,000"
18349790,,3077578 Nova Scotia,9510 Rue Saint Patrick,Lachine,QC,9510 Rue Saint Patrick,Canada,514-364-0161,"SAWMILLS, SPECIAL PRODUCTS, NEC","187,200,000"
24372234,,3091589,411 Rue De Castelnau E,Montréal,QC,411 Rue De Castelnau E,Canada,514-850-0466,"BUSINESS SERVICES, NEC","104,000,000"
24751527,,3104346,576 Rue Sainte Cathérine E Bureau 111,Montréal,QC,576 Rue Sainte Cathérine E Bureau 111,Canada,514-845-3345,RESTAURANTS,"104,000,000"
8655007,,3482731,3000 Boul Le Corbusier,Laval,QC,3000 Boul Le Corbusier,Canada,450-973-6090,BANK HOLDING COMPANIES,"312,000,000"
8692403,,3499481,4161 Sladeview Cres Unit 12,Mississauga,ON,4161 Sladeview Cres Unit 12,Canada,905-625-9000,"RETAIL STORES, MISC, NEC","191,360,000"
8666452,,3618358,96 Disco Rd,Etobicoke,ON,96 Disco Rd,Canada,416-679-7979,FREIGHT TRANSPORTATION SERVICES,"121,400,000"
24419464,,3755479,173 Dalhousie St Ste A,Ottawa,ON,173 Dalhousie St Ste A,Canada,613-562-9943,"BUSINESS CONSULTING SERVICES, NEC","187,200,000"
8689467,,3794873,2601 Matheson Blvd E Ste 212,Mississauga,ON,2601 Matheson Blvd E Ste 212,Canada,905-629-9992,HOTELS & MOTELS,"104,624,000"
3575036,,3858065,2525 Rue Canadien,Drummondville,QC,2525 Rue Canadien,Canada,819-474-2655,BANK HOLDING COMPANIES,"124,800,000"
8657447,,3958230,600 Boul De Maisonneuve O Bureau 2200,Montreal,QC,600 Boul De Maisonneuve O Bureau 2200,Canada,450-646-9760,"DRUGS, PROPRIETARIES, DRUGGIST SUNDRIES","197,600,000"
3591412,,400369 Alberta,13220 St Albert Trail Nw Ste 303,Edmonton,AB,13220 St Albert Trail Nw Ste 303,Canada,780-477-2233,BANK HOLDING COMPANIES,"291,200,000"
8647895,,404564 Ontario,2100 Road 4 E,Kingsville,ON,2100 Road 4 E,Canada,519-326-3218,BANK HOLDING COMPANIES,"442,803,721"
8648485,,417289 BC,570 Granville St Ste 400,Vancouver,BC,570 Granville St Ste 400,Canada,604-689-4005,BANK HOLDING COMPANIES,"166,400,000"
8354081,,4328796 Manitoba,547 Notre Dame Ave,Winnipeg,MB,547 Notre Dame Ave,Canada,204-925-4667,RESTAURANTS,"145,600,000"
21981969,,4513380,450 1 St Sw Ste 2500,Calgary,AB,450 1 St Sw Ste 2500,Canada,403-260-7084,BANK HOLDING COMPANIES,"416,000,000"
11424957,,4513614,6001 Rue Irwin,Lachine,QC,6001 Rue Irwin,Canada,514-335-6682,BANK HOLDING COMPANIES,"104,000,000"
24767100,,4659555 Manitoba,330a King St,Winnipeg,MB,330a King St,Canada,204-989-5820,EMPLOYMENT AGENCIES,"187,200,000"
8648871,,4834772 Manitoba,600 Pembina Hwy,Winnipeg,MB,600 Pembina Hwy,Canada,204-452-1588,BANK HOLDING COMPANIES,"125,840,000"
8675557,,539899 Alberta,2302 8 St,Nisku,AB,2302 8 St,Canada,780-955-2988,ELECTRICAL CONTRACTORS,"228,800,000"
8695858,,587887 Ontario,1550 Kingston Rd Ste 203,Pickering,ON,1550 Kingston Rd Ste 203,Canada,905-831-1001,BEAUTY SHOPS,"104,000,000"
8666271,,599681 Saskatchewan,Hwy 1 E,Regina,SK,Hwy 1 E,Canada,306-791-7777,INDUSTRIAL MACHINERY & EQUIPMENT,"123,425,000"
8378252,,858317 Alberta,3825 34 St Ne Ste 113,Calgary,AB,3825 34 St Ne Ste 113,Canada,403-301-0260,BANK HOLDING COMPANIES,"417,456,000"
24709182,,902316 Ontario,51 Vinyl Crt,Woodbridge,ON,51 Vinyl Crt,Canada,905-850-5544,BOOKBINDING & RELATED WORK,"145,600,000"
8667674,,90401 Canada Ltée,790 Rue Bégin,Montréal,QC,790 Rue Bégin,Canada,514-334-5512,BANK HOLDING COMPANIES,"145,600,000"
24759043,,9074-8898 Québec,3195 Ch De Bedford,Montréal,QC,3195 Ch De Bedford,Canada,514-376-6240,"BRAS, GIRDLES & ALLIED GARMENTS","171,872,000"
8699056,,9103-9834 Québec,400 Boul Saint Joseph Bureau 2,Drummondville,QC,400 Boul Saint Joseph Bureau 2,Canada,819-475-3928,"RETAIL STORES, MISC, NEC","401,440,000"
24420571,,9120-9007 Québec,2155 Boul De Maisonneuve E,Montréal,QC,2155 Boul De Maisonneuve E,Canada,514-521-4535,NATURAL GAS LIQUIDS,"388,480,000"
8689003,,928338 Ontario,300 Supertest Rd,North York,ON,300 Supertest Rd,Canada,416-782-6162,"CLOTHING STORES, WOMEN'S","374,400,000"
8351981,,ACA Coop,64 Minas Ware House Rd,Kentville,NS,64 Minas Ware House Rd,Canada,902-681-6161,POULTRY SLAUGHTERING & PROCESSING,"135,200,000"
24469158,,Acadia Students' Union,21 Horton Ave,Wolfville,NS,21 Horton Ave,Canada,902-542-2287,ACCIDENT & HEALTH INSURANCE,"118,583,520"
8361822,,Acier Gendron Ltée,2270 Rue Garneau,Longueuil,QC,2270 Rue Garneau,Canada,450-442-9494,METAL SERVICE CENTERS & OFFICES,"344,247,040"
3578545,,Administration F.L.T. Ltée,3075 Aut Transcanadienne,Pointe-Claire-Dorval,QC,3075 Aut Transcanadienne,Canada,514-694-5855,BANK HOLDING COMPANIES,"187,200,000"
24463191,,ADP CDA,3250 Bloor St W 16 Fl,Etobicoke,ON,3250 Bloor St W 16 Fl,Canada,416-207-7995,COMPUTER PROGRAMMING SERVICES,"416,000,000"
